,graph,node,DebtRank,time_steps,v_j,degree_centrality,betweenness_centrality,eigenvector_centrality,cap_buffer
563,barabasi_albert,263,0.17603259639767593,7,0.0004813713562799162,0.013377926421404682,0.00025335686263611563,0.018299202926701376,44.58398547232141
564,barabasi_albert,264,0.11773507155351147,7,0.005074198338383189,0.013377926421404682,0.0025328561736274245,0.009591279962538798,203.5125994951716
565,barabasi_albert,265,0.09393978315753954,7,0.0007724090651595507,0.013377926421404682,0.00031509627664794176,0.0036796244170859984,338.4370240826689
566,barabasi_albert,266,0.12281533985574117,7,0.0025116567800561626,0.013377926421404682,0.000230928491798057,0.008725144827559126,115.5660452456911
567,barabasi_albert,267,0.15599147958456,7,0.00214191312613542,0.013377926421404682,3.4631257274968976e-05,0.008182346376404984,536.4136970638649
568,barabasi_albert,268,0.20906679576204049,7,0.0009371535212343715,0.013377926421404682,0.0009761234677622639,0.02055137140152369,238.49095482786686
569,barabasi_albert,269,0.12342648163976132,7,0.0013252841274733556,0.013377926421404682,0.0006181796899176982,0.007032461497148721,27.162297812181986
570,barabasi_albert,270,0.12394357170400139,7,0.0009969863176318174,0.013377926421404682,0.0005599529673063381,0.006635981541646794,9.944211373580226
571,barabasi_albert,271,0.13855247073962323,7,0.00036065818979842093,0.013377926421404682,0.0009507558712402598,0.013883234978610695,117.31988292729253
572,barabasi_albert,272,0.09344532328654902,7,0.0015122490771910073,0.013377926421404682,0.00042403775260501265,0.0034341530174521427,481.122500931164
573,barabasi_albert,273,0.17817170304308788,7,0.006589081304928623,0.020066889632107024,0.0007800543926984192,0.008779037350505708,179.89962029689397
574,barabasi_albert,274,0.11436943884519064,7,0.0013254560979487787,0.013377926421404682,0.0004066651302403585,0.005996373954312058,589.7201077609114
575,barabasi_albert,275,0.2406290115921977,6,0.0005255037261323989,0.013377926421404682,0.0,0.0501098930210522,301.8643224005166
576,barabasi_albert,276,0.25308096414259185,6,0.0010109740762409682,0.013377926421404682,0.0013024383834374235,0.06057351710306094,297.0876608928261
577,barabasi_albert,277,0.20474106069780187,7,0.003348229239038209,0.013377926421404682,0.0011725742847118054,0.020354219896671924,244.25030907616247
578,barabasi_albert,278,0.2661268178468119,6,0.0009356226180809781,0.013377926421404682,0.0016823402179410093,0.07250295678885038,261.0035988828004
579,barabasi_albert,279,0.15407474818130776,7,0.0005063219079900712,0.013377926421404682,0.0010192702730468437,0.014446360518460082,205.8442531728674
580,barabasi_albert,280,0.14062134901789705,7,0.0011852644428979556,0.013377926421404682,0.0,0.006547632083870935,151.59758960857965
581,barabasi_albert,281,0.13562670696581616,7,0.0003955688489267173,0.013377926421404682,0.00058987515955208,0.014064741564207344,44.46538621015165
582,barabasi_albert,282,0.11918605898323785,7,0.0022707851749104785,0.013377926421404682,0.00011971298811100389,0.010709393808312623,1353.257978876119
583,barabasi_albert,283,0.1384203111120582,7,0.00039368102691063035,0.013377926421404682,0.0005462877584979554,0.011624321557260347,102.57505989317157
584,barabasi_albert,284,0.10780805072007052,8,0.0016057490307152375,0.013377926421404682,0.00014064980507933527,0.002304416378987345,1.6415269162537276
585,barabasi_albert,285,0.10480381196002936,7,0.00042282601012826114,0.013377926421404682,0.000480271830885206,0.0033722577200124178,82.32198764366082
586,barabasi_albert,286,0.12920375258330274,7,0.003714592403577601,0.020066889632107024,0.004156037772567142,0.007310509477157848,138.2556874972941
587,barabasi_albert,287,0.160055168914484,7,0.0033879668844119504,0.013377926421404682,0.0010232911221339945,0.01546819098511682,195.87603242467904
588,barabasi_albert,288,0.07933745133746195,8,0.0003886073004238664,0.013377926421404682,0.00043322999990639323,0.0018796646311437595,185.128713893746
589,barabasi_albert,289,0.11739263017400135,7,0.0014290857410399697,0.013377926421404682,0.0003553542071195997,0.0051085650243733694,177.5891103772682
590,barabasi_albert,290,0.14631625071147328,7,0.0006251486248081679,0.013377926421404682,0.0006261219370913881,0.014346909704038204,23.774288680675312
591,barabasi_albert,291,0.11805190716330202,7,0.0013490543664537447,0.013377926421404682,0.00011076123565181052,0.01112118952609963,235.79377213454723
592,barabasi_albert,292,0.154817026526478,7,0.0028449734356616194,0.013377926421404682,0.0007568756887249355,0.015050314882687883,249.73369040864702
593,barabasi_albert,293,0.20448153865917273,7,0.0015148344866184745,0.013377926421404682,0.0030185535165743434,0.01781013678243787,12.394506297018017
594,barabasi_albert,294,0.12537490600935425,7,0.0009809501666031893,0.013377926421404682,0.000840509728076786,0.0066062039943586065,15.514114717187349
